Time,SPY,IEFA,VWO,EWJ,XLF,XLK,XLV,XLY,XLP,XLU,XLI,XLE,XLC,XLRE,XLB,BND,LQD,BNDX,SHV,HYG,GLD,SLV,PDBC,USO
2021-05-17,400.385345458984,69.7447052001953,47.9181213378906,63.896598815918,36.1837310791016,132.084503173828,118.535591125488,167.058547973633,66.4350967407227,60.582088470459,100.362480163574,49.3548622131348,74.8208999633789,38.772388458252,84.3091201782227,79.4393157958984,120.349266052246,53.0616912841797,104.431816101074,76.3343734741211,174.699996948242,26.1900005340576,11.1312599182129,45.3899993896484
2021-05-18,396.935821533203,69.9574813842773,48.6115188598633,64.7043228149414,35.678394317627,131.027648925781,118.574058532715,165.7548828125,66.2286911010742,60.572811126709,98.9013977050781,48.2095909118652,74.0578079223633,38.8462867736816,83.3774337768555,79.3551788330078,119.953941345215,53.0616912841797,104.431816101074,76.1502304077148,175.039993286133,26.1499996185303,11.091136932373,44.8400001525879
2021-05-19,395.895141601562,69.300651550293,48.4820785522461,64.3773880004883,35.4591026306152,131.487594604492,118.372039794922,164.362945556641,66.0129013061523,60.4708633422852,98.3438720703125,47.0102119445801,74.1752166748047,38.698486328125,82.1034774780273,79.2710571289062,119.742485046387,53.0054588317871,104.431816101074,75.9485244750977,175.160003662109,25.7299995422363,10.8332033157349,43.4300003051758
2021-05-20,400.154174804688,70.2812805175781,48.6577415466309,64.9639511108398,35.4781684875488,134.002471923828,119.612991333008,166.048904418945,66.6227340698242,60.9991188049316,98.5649719238281,46.938060760498,75.4470138549805,39.1788749694824,82.1510162353516,79.5327911376953,120.560752868652,53.0991592407227,104.431816101074,76.2729873657227,175.960006713867,25.7900009155273,10.7185668945312,42.4799995422363
2021-05-21,399.826538085938,70.3552932739258,48.140007019043,65.3197250366211,35.8309555053711,133.268539428711,119.63224029541,165.215774536133,66.6321182250977,61.3142204284668,99.0455856323242,47.0372657775879,75.1926574707031,39.114200592041,82.3316421508789,79.5514907836914,120.643478393555,53.1553840637207,104.441276550293,76.3870010375977,176.039993286133,25.5300006866455,10.8389348983765,43.7000007629395
2021-05-24,403.902496337891,70.7530899047852,48.5930252075195,65.6082077026367,36.0025749206543,135.636627197266,119.747680664062,166.85270690918,66.8291473388672,61.2030029296875,99.660774230957,47.5061912536621,76.5622787475586,39.5391502380371,83.0636901855469,79.6449661254883,120.974510192871,53.1834831237793,104.441276550293,76.4746627807617,176.350006103516,25.75,10.9822301864624,45.0200004577637
2021-05-25,403.006286621094,70.7530899047852,49.1015167236328,65.4543533325195,35.6402587890625,135.675765991211,119.391746520996,167.382034301758,66.8479080200195,60.4616012573242,99.36279296875,46.5412788391113,76.5427169799805,39.6500053405762,82.3601684570312,79.8506164550781,121.424995422363,53.3240394592285,104.441276550293,76.4834442138672,177.949996948242,25.9899997711182,10.9249114990234,44.9199981689453
2021-05-26,403.806121826172,70.7345809936523,49.4620742797852,65.5985870361328,35.7451400756836,135.665985107422,118.699127197266,168.979766845703,66.7071914672852,60.4708633422852,99.6800003051758,46.9561042785645,77.0416412353516,39.7423896789551,82.3886871337891,79.8225555419922,121.360641479492,53.4364852905273,104.441276550293,76.5097427368164,177.639999389648,25.6700000762939,10.9650344848633,45.2000007629395
2021-05-27,404.018096923828,70.8733520507812,49.5545234680176,65.6466674804688,36.1551208496094,134.95166015625,118.439392089844,169.656143188477,66.2943572998047,60.0630912780762,101.044952392578,46.9921798706055,77.3351364135742,39.6961975097656,83.044677734375,79.7104110717773,120.992874145508,53.3052978515625,104.441276550293,76.4746627807617,177.710006713867,25.8500003814697,11.1255264282227,45.5499992370605
2021-05-28,404.740783691406,71.0491180419922,49.8133888244629,65.9447555541992,36.221866607666,135.431137084961,118.901138305664,169.4208984375,66.4350967407227,60.3874626159668,101.044952392578,47.0823554992676,77.0807876586914,39.9641075134277,82.959114074707,79.7010498046875,121.09400177002,53.3427772521973,104.431816101074,76.448371887207,178.380004882812,25.8999996185303,11.0968685150146,45.4199981689453
2021-06-01,404.38427734375,71.2896499633789,50.8581123352051,65.5312728881836,36.4411582946777,134.765747070312,116.948310852051,169.097427368164,66.2099304199219,60.0167617797852,101.43904876709,48.8949546813965,77.1296844482422,40.6477279663086,84.1189956665039,79.6954574584961,121.109680175781,53.3343353271484,104.422370910645,76.6780090332031,177.899993896484,25.8400001525879,11.2917518615723,46.3300018310547
